match_id,stage,group,match_date,venue,city,country,home_team,away_team,neutral,bracket_slot_home,bracket_slot_away
92,Round of 16,,2026-07-05T18:00:00,Estadio Azteca,Mexico City,Mexico,,,True,W79,W80
93,Round of 16,,2026-07-06T14:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,,,True,W83,W84
94,Round of 16,,2026-07-06T17:00:00,Lumen Field,Seattle,United States,,,True,W81,W82
95,Round of 16,,2026-07-07T12:00:00,Mercedes-Benz Stadium,Atlanta,United States,,,True,W86,W88
96,Round of 16,,2026-07-07T13:00:00,BC Place,Vancouver,Canada,,,True,W85,W87
97,Quarter-final,,2026-07-09T16:00:00,Gillette Stadium,Boston (Foxborough),United States,,,True,W89,W90
98,Quarter-final,,2026-07-10T12:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,,,True,W93,W94
99,Quarter-final,,2026-07-11T17:00:00,Hard Rock Stadium,Miami (Miami Gardens),United States,,,True,W91,W92
100,Quarter-final,,2026-07-11T20:00:00,GEHA Field at Arrowhead Stadium,Kansas City,United States,,,True,W95,W96
101,Semi-final,,2026-07-14T14:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,,,True,W97,W98
102,Semi-final,,2026-07-15T15:00:00,Mercedes-Benz Stadium,Atlanta,United States,,,True,W99,W100
103,Third Place,,2026-07-18T17:00:00,Hard Rock Stadium,Miami (Miami Gardens),United States,,,True,L101,L102
104,Final,,2026-07-19T15:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,,,True,W101,W102
